,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,team,total,home,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,team_opp,total_opp,home_opp,season,date,won
2992,265.0,41.0,90.0,0.456,19.0,50.0,0.38,16.0,20.0,0.8,8.0,24.0,32.0,24.0,11.0,4.0,19.0,14.0,117.0,,,,9.0,22.0,1.0,5.0,13.0,1.0,7.0,9.0,1.0,2.0,7.0,7.0,8.0,4.0,2.0,5.0,4.0,25.0,18.8,18.0,BOS,117,0,265.0,47.0,90.0,0.522,9.0,28.0,0.321,10.0,13.0,0.769,9.0,31.0,40.0,24.0,11.0,6.0,23.0,25.0,113.0,,,,12.0,21.0,0.667,4.0,7.0,0.571,5.0,5.0,1.0,4.0,7.0,11.0,7.0,3.0,2.0,4.0,5.0,29.0,23.5,5.0,LAC,113,1,2025,2025-01-22,True
2993,265.0,47.0,90.0,0.522,9.0,28.0,0.321,10.0,13.0,0.769,9.0,31.0,40.0,24.0,11.0,6.0,23.0,25.0,113.0,,,,12.0,21.0,0.667,4.0,7.0,0.571,5.0,5.0,1.0,4.0,7.0,11.0,7.0,3.0,2.0,4.0,5.0,29.0,23.5,5.0,LAC,113,1,265.0,41.0,90.0,0.456,19.0,50.0,0.38,16.0,20.0,0.8,8.0,24.0,32.0,24.0,11.0,4.0,19.0,14.0,117.0,,,,9.0,22.0,1.0,5.0,13.0,1.0,7.0,9.0,1.0,2.0,7.0,7.0,8.0,4.0,2.0,5.0,4.0,25.0,18.8,18.0,BOS,117,0,2025,2025-01-22,False
2994,265.0,39.0,102.0,0.382,13.0,49.0,0.265,18.0,24.0,0.75,15.0,36.0,51.0,28.0,5.0,2.0,8.0,18.0,109.0,,,,12.0,21.0,0.571,5.0,12.0,0.417,8.0,8.0,1.0,4.0,9.0,11.0,8.0,2.0,1.0,2.0,4.0,30.0,24.2,9.0,CHO,109,0,265.0,45.0,88.0,0.511,16.0,37.0,0.432,12.0,15.0,0.8,7.0,43.0,50.0,29.0,3.0,7.0,10.0,20.0,118.0,,,,12.0,25.0,1.0,5.0,10.0,1.0,5.0,8.0,1.0,2.0,10.0,11.0,13.0,2.0,5.0,4.0,4.0,33.0,26.6,18.0,NYK,118,1,2021,2021-05-15,False
2995,265.0,45.0,88.0,0.511,16.0,37.0,0.432,12.0,15.0,0.8,7.0,43.0,50.0,29.0,3.0,7.0,10.0,20.0,118.0,,,,12.0,25.0,1.0,5.0,10.0,1.0,5.0,8.0,1.0,2.0,10.0,11.0,13.0,2.0,5.0,4.0,4.0,33.0,26.6,18.0,NYK,118,1,265.0,39.0,102.0,0.382,13.0,49.0,0.265,18.0,24.0,0.75,15.0,36.0,51.0,28.0,5.0,2.0,8.0,18.0,109.0,,,,12.0,21.0,0.571,5.0,12.0,0.417,8.0,8.0,1.0,4.0,9.0,11.0,8.0,2.0,1.0,2.0,4.0,30.0,24.2,9.0,CHO,109,0,2021,2021-05-15,True
2996,240.0,48.0,89.0,0.539,16.0,36.0,0.444,23.0,30.0,0.767,12.0,37.0,49.0,35.0,3.0,6.0,13.0,18.0,135.0,,,,12.0,18.0,0.857,6.0,12.0,0.571,11.0,13.0,1.0,6.0,10.0,16.0,9.0,1.0,3.0,3.0,5.0,33.0,28.7,16.0,UTA,135,0,240.0,45.0,95.0,0.474,14.0,37.0,0.378,22.0,25.0,0.88,10.0,26.0,36.0,36.0,7.0,7.0,9.0,23.0,126.0,,,,10.0,19.0,0.692,6.0,9.0,0.667,7.0,7.0,1.0,3.0,9.0,10.0,7.0,2.0,3.0,3.0,6.0,28.0,25.0,5.0,CHI,126,1,2025,2024-11-04,True
2997,240.0,45.0,95.0,0.474,14.0,37.0,0.378,22.0,25.0,0.88,10.0,26.0,36.0,36.0,7.0,7.0,9.0,23.0,126.0,,,,10.0,19.0,0.692,6.0,9.0,0.667,7.0,7.0,1.0,3.0,9.0,10.0,7.0,2.0,3.0,3.0,6.0,28.0,25.0,5.0,CHI,126,1,240.0,48.0,89.0,0.539,16.0,36.0,0.444,23.0,30.0,0.767,12.0,37.0,49.0,35.0,3.0,6.0,13.0,18.0,135.0,,,,12.0,18.0,0.857,6.0,12.0,0.571,11.0,13.0,1.0,6.0,10.0,16.0,9.0,1.0,3.0,3.0,5.0,33.0,28.7,16.0,UTA,135,0,2025,2024-11-04,False
2998,240.0,35.0,86.0,0.407,9.0,29.0,0.31,18.0,23.0,0.783,13.0,31.0,44.0,17.0,6.0,6.0,16.0,20.0,97.0,,,,6.0,14.0,0.75,3.0,7.0,1.0,4.0,4.0,1.0,3.0,7.0,8.0,4.0,1.0,4.0,3.0,5.0,18.0,18.4,3.0,ORL,97,0,240.0,49.0,98.0,0.5,13.0,30.0,0.433,12.0,18.0,0.667,13.0,30.0,43.0,32.0,8.0,3.0,8.0,22.0,123.0,,,,8.0,17.0,1.0,3.0,9.0,1.0,3.0,6.0,1.0,8.0,6.0,13.0,8.0,4.0,1.0,3.0,4.0,19.0,19.1,26.0,SAS,123,1,2022,2021-10-20,False
2999,240.0,49.0,98.0,0.5,13.0,30.0,0.433,12.0,18.0,0.667,13.0,30.0,43.0,32.0,8.0,3.0,8.0,22.0,123.0,,,,8.0,17.0,1.0,3.0,9.0,1.0,3.0,6.0,1.0,8.0,6.0,13.0,8.0,4.0,1.0,3.0,4.0,19.0,19.1,26.0,SAS,123,1,240.0,35.0,86.0,0.407,9.0,29.0,0.31,18.0,23.0,0.783,13.0,31.0,44.0,17.0,6.0,6.0,16.0,20.0,97.0,,,,6.0,14.0,0.75,3.0,7.0,1.0,4.0,4.0,1.0,3.0,7.0,8.0,4.0,1.0,4.0,3.0,5.0,18.0,18.4,3.0,ORL,97,0,2022,2021-10-20,True
3000,240.0,44.0,102.0,0.431,18.0,47.0,0.383,8.0,9.0,0.889,16.0,40.0,56.0,26.0,11.0,8.0,12.0,18.0,114.0,,,,10.0,26.0,0.667,5.0,11.0,0.75,4.0,5.0,1.0,8.0,20.0,28.0,9.0,3.0,3.0,4.0,4.0,24.0,25.7,18.0,SAC,114,0,240.0,34.0,84.0,0.405,11.0,41.0,0.268,18.0,22.0,0.818,8.0,35.0,43.0,22.0,5.0,7.0,15.0,14.0,97.0,,,,9.0,19.0,0.75,4.0,7.0,0.571,9.0,11.0,1.0,3.0,12.0,12.0,5.0,1.0,2.0,8.0,3.0,28.0,21.6,-1.0,BOS,97,1,2025,2025-01-10,True
3001,240.0,34.0,84.0,0.405,11.0,41.0,0.268,18.0,22.0,0.818,8.0,35.0,43.0,22.0,5.0,7.0,15.0,14.0,97.0,,,,9.0,19.0,0.75,4.0,7.0,0.571,9.0,11.0,1.0,3.0,12.0,12.0,5.0,1.0,2.0,8.0,3.0,28.0,21.6,-1.0,BOS,97,1,240.0,44.0,102.0,0.431,18.0,47.0,0.383,8.0,9.0,0.889,16.0,40.0,56.0,26.0,11.0,8.0,12.0,18.0,114.0,,,,10.0,26.0,0.667,5.0,11.0,0.75,4.0,5.0,1.0,8.0,20.0,28.0,9.0,3.0,3.0,4.0,4.0,24.0,25.7,18.0,SAC,114,0,2025,2025-01-10,False
