,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
7,33,49,0.402,40.0,106.6,109.1,-2.32,2016,Sacramento Kings
8,23,59,0.28,50.0,100.9,107.5,-6.32,2016,Phoenix Suns
9,17,65,0.207,56.0,97.3,106.9,-8.92,2016,Los Angeles Lakers
10,67,15,0.817,—,103.5,92.9,10.28,2016,San Antonio Spurs*
11,42,40,0.512,25.0,102.3,102.6,-0.02,2016,Dallas Mavericks*
12,42,40,0.512,25.0,99.1,101.3,-2.14,2016,Memphis Grizzlies*
13,41,41,0.5,26.0,106.5,106.4,0.34,2016,Houston Rockets*
14,30,52,0.366,37.0,102.7,106.5,-3.56,2016,New Orleans Pelicans
0,53,29,0.646,—,108.0,105.4,2.25,2017,Boston Celtics*
1,51,31,0.622,2.0,106.9,102.6,3.65,2017,Toronto Raptors*
2,31,51,0.378,22.0,104.3,108.0,-3.87,2017,New York Knicks
3,28,54,0.341,25.0,102.4,108.1,-5.83,2017,Philadelphia 76ers
4,20,62,0.244,33.0,105.8,112.5,-6.74,2017,Brooklyn Nets
5,51,31,0.622,—,110.3,107.2,2.87,2017,Cleveland Cavaliers*
6,42,40,0.512,9.0,103.6,103.8,-0.45,2017,Milwaukee Bucks*
7,42,40,0.512,9.0,105.1,105.3,-0.64,2017,Indiana Pacers*
8,41,41,0.5,10.0,102.9,102.4,0.03,2017,Chicago Bulls*
9,37,45,0.451,14.0,101.3,102.5,-1.29,2017,Detroit Pistons
10,49,33,0.598,—,109.2,107.4,1.36,2017,Washington Wizards*
11,43,39,0.524,6.0,103.2,104.0,-1.23,2017,Atlanta Hawks*
12,41,41,0.5,8.0,103.2,102.1,0.77,2017,Miami Heat
13,36,46,0.439,13.0,104.9,104.7,-0.07,2017,Charlotte Hornets
14,29,53,0.354,20.0,101.1,107.6,-6.61,2017,Orlando Magic
0,51,31,0.622,—,100.7,96.8,4.0,2017,Utah Jazz*
1,47,35,0.573,4.0,106.6,105.8,1.14,2017,Oklahoma City Thunder*
2,41,41,0.5,10.0,107.9,108.5,-0.23,2017,Portland Trail Blazers*
3,40,42,0.488,11.0,111.7,111.2,0.7,2017,Denver Nuggets
4,31,51,0.378,20.0,105.6,106.7,-0.64,2017,Minnesota Timberwolves
5,67,15,0.817,—,115.9,104.3,11.35,2017,Golden State Warriors*
6,51,31,0.622,16.0,108.7,104.4,4.42,2017,Los Angeles Clippers*
7,32,50,0.39,35.0,102.8,106.7,-3.29,2017,Sacramento Kings
8,26,56,0.317,41.0,104.6,111.5,-6.29,2017,Los Angeles Lakers
9,24,58,0.293,43.0,107.7,113.3,-5.14,2017,Phoenix Suns
10,61,21,0.744,—,105.3,98.1,7.13,2017,San Antonio Spurs*
11,55,27,0.671,6.0,115.3,109.6,5.84,2017,Houston Rockets*
12,43,39,0.524,18.0,100.5,100.0,0.96,2017,Memphis Grizzlies*
13,34,48,0.415,27.0,104.3,106.4,-1.69,2017,New Orleans Pelicans
14,33,49,0.402,28.0,97.9,100.8,-2.53,2017,Dallas Mavericks
0,59,23,0.72,—,111.7,103.9,7.29,2018,Toronto Raptors*
1,55,27,0.671,4.0,104.0,100.4,3.23,2018,Boston Celtics*
2,52,30,0.634,7.0,109.8,105.3,4.3,2018,Philadelphia 76ers*
3,29,53,0.354,30.0,104.5,108.0,-3.53,2018,New York Knicks
4,28,54,0.341,31.0,106.6,110.3,-3.67,2018,Brooklyn Nets
5,50,32,0.61,—,110.9,109.9,0.59,2018,Cleveland Cavaliers*
6,48,34,0.585,2.0,105.6,104.2,1.18,2018,Indiana Pacers*
7,44,38,0.537,6.0,106.5,106.8,-0.45,2018,Milwaukee Bucks*
8,39,43,0.476,11.0,103.8,103.9,-0.26,2018,Detroit Pistons
9,27,55,0.329,23.0,102.9,110.0,-6.84,2018,Chicago Bulls
10,44,38,0.537,—,103.4,102.9,0.15,2018,Miami Heat*
11,43,39,0.524,1.0,106.6,106.0,0.53,2018,Washington Wizards*
12,36,46,0.439,8.0,108.2,108.0,0.07,2018,Charlotte Hornets
13,25,57,0.305,19.0,103.4,108.2,-4.92,2018,Orlando Magic
14,24,58,0.293,20.0,103.4,108.8,-5.3,2018,Atlanta Hawks
0,49,33,0.598,—,105.6,103.0,2.6,2018,Portland Trail Blazers*
1,48,34,0.585,1.0,107.9,104.4,3.42,2018,Oklahoma City Thunder*
2,48,34,0.585,1.0,104.1,99.8,4.47,2018,Utah Jazz*
3,47,35,0.573,2.0,109.5,107.3,2.35,2018,Minnesota Timberwolves*
4,46,36,0.561,3.0,110.0,108.5,1.57,2018,Denver Nuggets
5,58,24,0.707,—,113.5,107.5,5.79,2018,Golden State Warriors*
6,42,40,0.512,16.0,109.0,109.0,0.15,2018,Los Angeles Clippers
7,35,47,0.427,23.0,108.1,109.6,-1.44,2018,Los Angeles Lakers
8,27,55,0.329,31.0,98.8,105.8,-6.6,2018,Sacramento Kings
9,21,61,0.256,37.0,103.9,113.3,-8.8,2018,Phoenix Suns
10,65,17,0.793,—,112.4,103.9,8.21,2018,Houston Rockets*
11,48,34,0.585,17.0,111.7,110.4,1.48,2018,New Orleans Pelicans*
12,47,35,0.573,18.0,102.7,99.8,2.89,2018,San Antonio Spurs*
13,24,58,0.293,41.0,102.3,105.4,-2.7,2018,Dallas Mavericks
14,22,60,0.268,43.0,99.3,105.5,-5.81,2018,Memphis Grizzlies
0,58,24,0.707,—,114.4,108.4,5.49,2019,Toronto Raptors*
1,51,31,0.622,7.0,115.2,112.5,2.25,2019,Philadelphia 76ers*
2,49,33,0.598,9.0,112.4,108.0,3.9,2019,Boston Celtics*
3,42,40,0.512,16.0,112.2,112.3,-0.4,2019,Brooklyn Nets*
4,17,65,0.207,41.0,104.6,113.8,-8.93,2019,New York Knicks
5,60,22,0.732,—,118.1,109.3,8.04,2019,Milwaukee Bucks*
6,48,34,0.585,12.0,108.0,104.7,2.76,2019,Indiana Pacers*
7,41,41,0.5,19.0,107.0,107.3,-0.56,2019,Detroit Pistons*
8,22,60,0.268,38.0,104.9,113.4,-8.32,2019,Chicago Bulls
9,19,63,0.232,41.0,104.5,114.1,-9.39,2019,Cleveland Cavaliers
10,42,40,0.512,—,107.3,106.6,0.28,2019,Orlando Magic*
11,39,43,0.476,3.0,110.7,111.8,-1.32,2019,Charlotte Hornets
12,39,43,0.476,3.0,105.7,105.9,-0.45,2019,Miami Heat
13,32,50,0.39,10.0,114.0,116.9,-3.3,2019,Washington Wizards
14,29,53,0.354,13.0,113.3,119.4,-6.06,2019,Atlanta Hawks
0,54,28,0.659,—,110.7,106.7,4.19,2019,Denver Nuggets*
1,53,29,0.646,1.0,114.7,110.5,4.43,2019,Portland Trail Blazers*
2,50,32,0.61,4.0,111.7,106.5,5.28,2019,Utah Jazz*
3,49,33,0.598,5.0,114.5,111.1,3.56,2019,Oklahoma City Thunder*
4,36,46,0.439,18.0,112.5,114.0,-1.02,2019,Minnesota Timberwolves
5,57,25,0.695,—,117.7,111.2,6.42,2019,Golden State Warriors*
6,48,34,0.585,9.0,115.1,114.3,1.09,2019,Los Angeles Clippers*
7,39,43,0.476,18.0,114.2,115.3,-0.81,2019,Sacramento Kings
8,37,45,0.451,20.0,111.8,113.5,-1.33,2019,Los Angeles Lakers
9,19,63,0.232,38.0,107.5,116.8,-8.61,2019,Phoenix Suns
10,53,29,0.646,—,113.9,109.1,4.96,2019,Houston Rockets*
11,48,34,0.585,5.0,111.7,110.0,1.8,2019,San Antonio Spurs*
12,33,49,0.402,20.0,103.5,106.1,-2.08,2019,Memphis Grizzlies
13,33,49,0.402,20.0,115.4,116.8,-1.1,2019,New Orleans Pelicans
14,33,49,0.402,20.0,108.9,110.1,-0.87,2019,Dallas Mavericks
0,53,19,0.736,—,112.8,106.5,5.97,2020,Toronto Raptors*
1,48,24,0.667,5.0,113.7,107.3,5.83,2020,Boston Celtics*
2,43,30,0.589,10.5,110.7,108.4,2.25,2020,Philadelphia 76ers*
3,35,37,0.486,18.0,111.8,112.3,-1.01,2020,Brooklyn Nets*
4,21,45,0.318,29.0,105.8,112.3,-6.72,2020,New York Knicks
5,56,17,0.767,—,118.7,108.6,9.41,2020,Milwaukee Bucks*
6,45,28,0.616,11.0,109.4,107.5,1.63,2020,Indiana Pacers*
7,22,43,0.338,30.0,106.8,109.9,-4.0,2020,Chicago Bulls
8,20,46,0.303,32.5,107.2,110.8,-4.38,2020,Detroit Pistons
9,19,46,0.292,33.0,106.9,114.8,-7.77,2020,Cleveland Cavaliers
10,44,29,0.603,—,112.0,109.1,2.59,2020,Miami Heat*
11,33,40,0.452,11.0,107.3,108.3,-0.93,2020,Orlando Magic*
12,23,42,0.354,17.0,102.9,109.6,-7.03,2020,Charlotte Hornets
13,25,47,0.347,18.5,114.4,119.1,-5.24,2020,Washington Wizards
14,20,47,0.299,21.0,111.8,119.7,-7.71,2020,Atlanta Hawks
0,46,27,0.63,—,111.3,109.2,2.35,2020,Denver Nuggets*
1,44,28,0.611,1.5,110.4,108.4,2.33,2020,Oklahoma City Thunder*
2,44,28,0.611,1.5,111.3,108.8,2.52,2020,Utah Jazz*
3,35,39,0.473,11.5,115.0,116.1,-0.61,2020,Portland Trail Blazers*
4,19,45,0.297,22.5,113.3,117.5,-4.02,2020,Minnesota Timberwolves
5,52,19,0.732,—,113.4,107.6,6.28,2020,Los Angeles Lakers*
6,49,23,0.681,3.5,116.3,109.9,6.66,2020,Los Angeles Clippers*
7,34,39,0.466,19.0,113.6,113.4,0.56,2020,Phoenix Suns
8,31,41,0.431,21.5,110.1,112.1,-1.59,2020,Sacramento Kings
9,15,50,0.231,34.0,106.3,115.0,-8.12,2020,Golden State Warriors
10,44,28,0.611,—,117.8,114.8,3.13,2020,Houston Rockets*
11,43,32,0.573,2.5,117.0,112.1,4.87,2020,Dallas Mavericks*
12,34,39,0.466,10.5,112.6,113.7,-0.91,2020,Memphis Grizzlies
13,32,39,0.451,11.5,114.1,115.2,-0.65,2020,San Antonio Spurs
14,30,42,0.417,14.0,115.8,117.1,-0.55,2020,New Orleans Pelicans
0,49,23,0.681,—,113.6,108.1,5.28,2021,Philadelphia 76ers*
1,48,24,0.667,1.0,118.6,114.1,4.24,2021,Brooklyn Nets*
2,41,31,0.569,8.0,107.0,104.7,2.13,2021,New York Knicks*
3,36,36,0.5,13.0,112.6,111.2,1.32,2021,Boston Celtics*
4,27,45,0.375,22.0,111.3,111.7,-0.54,2021,Toronto Raptors
5,46,26,0.639,—,120.1,114.2,5.57,2021,Milwaukee Bucks*
6,34,38,0.472,12.0,115.3,115.3,-0.13,2021,Indiana Pacers
7,31,41,0.431,15.0,110.7,111.6,-0.94,2021,Chicago Bulls
8,22,50,0.306,24.0,103.8,112.3,-8.19,2021,Cleveland Cavaliers
9,20,52,0.278,26.0,106.6,111.1,-4.38,2021,Detroit Pistons
10,41,31,0.569,—,113.7,111.4,2.14,2021,Atlanta Hawks*
11,40,32,0.556,1.0,108.1,108.0,-0.06,2021,Miami Heat*
12,34,38,0.472,7.0,116.6,118.5,-1.85,2021,Washington Wizards*
13,33,39,0.458,8.0,109.5,111.4,-1.94,2021,Charlotte Hornets
14,21,51,0.292,20.0,104.0,113.3,-9.02,2021,Orlando Magic
0,52,20,0.722,—,116.4,107.2,8.97,2021,Utah Jazz*
1,47,25,0.653,5.0,115.1,110.1,4.82,2021,Denver Nuggets*
2,42,30,0.583,10.0,116.1,114.3,1.81,2021,Portland Trail Blazers*
3,23,49,0.319,29.0,112.1,117.7,-5.25,2021,Minnesota Timberwolves
4,22,50,0.306,30.0,105.0,115.6,-10.13,2021,Oklahoma City Thunder
5,51,21,0.708,—,115.3,109.5,5.67,2021,Phoenix Suns*
6,47,25,0.653,4.0,114.0,107.8,6.02,2021,Los Angeles Clippers*
7,42,30,0.583,9.0,109.5,106.8,2.77,2021,Los Angeles Lakers*
8,39,33,0.542,12.0,113.7,112.7,1.1,2021,Golden State Warriors
9,31,41,0.431,20.0,113.7,117.4,-3.45,2021,Sacramento Kings
10,42,30,0.583,—,112.4,110.2,2.26,2021,Dallas Mavericks*
11,38,34,0.528,4.0,113.3,112.3,1.07,2021,Memphis Grizzlies*
12,33,39,0.458,9.0,111.1,112.8,-1.58,2021,San Antonio Spurs
13,31,41,0.431,11.0,114.6,114.9,-0.2,2021,New Orleans Pelicans
14,17,55,0.236,25.0,108.8,116.7,-7.5,2021,Houston Rockets
0,51,31,0.622,—,111.8,104.5,7.02,2022,Boston Celtics*
1,51,31,0.622,—,109.9,107.3,2.57,2022,Philadelphia 76ers*
2,48,34,0.585,3.0,109.4,107.1,2.38,2022,Toronto Raptors*
3,44,38,0.537,7.0,112.9,112.1,0.82,2022,Brooklyn Nets*
4,37,45,0.451,14.0,106.5,106.6,-0.01,2022,New York Knicks
5,51,31,0.622,—,115.5,112.1,3.22,2022,Milwaukee Bucks*
6,46,36,0.561,5.0,111.6,112.0,-0.38,2022,Chicago Bulls*
7,44,38,0.537,7.0,107.8,105.7,2.04,2022,Cleveland Cavaliers
8,25,57,0.305,26.0,111.5,114.9,-3.26,2022,Indiana Pacers
9,23,59,0.28,28.0,104.8,112.5,-7.36,2022,Detroit Pistons
10,53,29,0.646,—,110.0,105.6,4.23,2022,Miami Heat*
11,43,39,0.524,10.0,113.9,112.4,1.55,2022,Atlanta Hawks*
12,43,39,0.524,10.0,115.3,114.9,0.53,2022,Charlotte Hornets
13,35,47,0.427,18.0,108.6,112.0,-3.23,2022,Washington Wizards
14,22,60,0.268,31.0,104.2,112.2,-7.67,2022,Orlando Magic
0,49,33,0.598,—,113.6,107.6,5.67,2022,Utah Jazz*
1,48,34,0.585,1.0,112.7,110.4,2.16,2022,Denver Nuggets*
2,46,36,0.561,3.0,115.9,113.3,2.53,2022,Minnesota Timberwolves*
3,27,55,0.329,22.0,106.2,115.1,-8.55,2022,Portland Trail Blazers
4,24,58,0.293,25.0,103.7,111.8,-7.9,2022,Oklahoma City Thunder
5,64,18,0.78,—,114.8,107.3,6.94,2022,Phoenix Suns*
6,53,29,0.646,11.0,111.0,105.5,5.52,2022,Golden State Warriors*
7,42,40,0.512,22.0,108.4,108.4,0.09,2022,Los Angeles Clippers
8,33,49,0.402,31.0,112.1,115.1,-3.08,2022,Los Angeles Lakers
9,30,52,0.366,34.0,110.3,115.8,-5.26,2022,Sacramento Kings
10,56,26,0.683,—,115.6,109.9,5.37,2022,Memphis Grizzlies*
11,52,30,0.634,4.0,108.0,104.7,3.12,2022,Dallas Mavericks*
12,36,46,0.439,20.0,109.3,110.3,-0.84,2022,New Orleans Pelicans*
13,34,48,0.415,22.0,113.2,113.0,0.02,2022,San Antonio Spurs
14,20,62,0.244,36.0,109.7,118.2,-8.26,2022,Houston Rockets
0,57,25,0.695,—,117.9,111.4,6.38,2023,Boston Celtics*
1,54,28,0.659,3.0,115.2,110.9,4.37,2023,Philadelphia 76ers*
2,47,35,0.573,10.0,116.0,113.1,2.99,2023,New York Knicks*
3,45,37,0.549,12.0,113.4,112.5,1.03,2023,Brooklyn Nets*
4,41,41,0.5,16.0,112.9,111.4,1.59,2023,Toronto Raptors
5,58,24,0.707,—,116.9,113.3,3.61,2023,Milwaukee Bucks*
6,51,31,0.622,7.0,112.3,106.9,5.23,2023,Cleveland Cavaliers*
7,40,42,0.488,18.0,113.1,111.8,1.37,2023,Chicago Bulls
8,35,47,0.427,23.0,116.3,119.5,-2.91,2023,Indiana Pacers
9,17,65,0.207,41.0,110.3,118.5,-7.73,2023,Detroit Pistons
10,44,38,0.537,—,109.5,109.8,-0.13,2023,Miami Heat*
11,41,41,0.5,3.0,118.4,118.1,0.32,2023,Atlanta Hawks*
12,35,47,0.427,9.0,113.2,114.4,-1.06,2023,Washington Wizards
13,34,48,0.415,10.0,111.4,114.0,-2.39,2023,Orlando Magic
14,27,55,0.329,17.0,111.0,117.2,-5.89,2023,Charlotte Hornets
0,53,29,0.646,—,115.8,112.5,3.04,2023,Denver Nuggets*
1,42,40,0.512,11.0,115.8,115.8,-0.22,2023,Minnesota Timberwolves*
2,40,42,0.488,13.0,117.5,116.4,0.96,2023,Oklahoma City Thunder
3,37,45,0.451,16.0,117.1,118.0,-1.03,2023,Utah Jazz
4,33,49,0.402,20.0,113.4,117.4,-3.96,2023,Portland Trail Blazers
5,48,34,0.585,—,120.7,118.1,2.3,2023,Sacramento Kings*
6,45,37,0.549,3.0,113.6,111.6,2.08,2023,Phoenix Suns*
7,44,38,0.537,4.0,113.6,113.1,0.31,2023,Los Angeles Clippers*
8,44,38,0.537,4.0,118.9,117.1,1.66,2023,Golden State Warriors*
9,43,39,0.524,5.0,117.2,116.6,0.43,2023,Los Angeles Lakers*
10,51,31,0.622,—,116.9,113.0,3.6,2023,Memphis Grizzlies*
11,42,40,0.512,9.0,114.4,112.5,1.63,2023,New Orleans Pelicans
12,38,44,0.463,13.0,114.2,114.1,-0.14,2023,Dallas Mavericks
13,22,60,0.268,29.0,110.7,118.6,-7.62,2023,Houston Rockets
14,22,60,0.268,29.0,113.0,123.1,-9.82,2023,San Antonio Spurs
0,64,18,0.78,—,120.6,109.2,10.75,2024,Boston Celtics*
1,50,32,0.61,14.0,112.8,108.2,4.36,2024,New York Knicks*
2,47,35,0.573,17.0,114.6,111.5,2.51,2024,Philadelphia 76ers*
3,32,50,0.39,32.0,110.4,113.3,-3.02,2024,Brooklyn Nets
4,25,57,0.305,39.0,112.4,118.8,-6.45,2024,Toronto Raptors
5,49,33,0.598,—,119.0,116.4,2.44,2024,Milwaukee Bucks*
6,48,34,0.585,1.0,112.6,110.2,1.98,2024,Cleveland Cavaliers*
7,47,35,0.573,2.0,123.3,120.2,2.75,2024,Indiana Pacers*
8,39,43,0.476,10.0,112.3,113.7,-1.77,2024,Chicago Bulls
9,14,68,0.171,35.0,109.9,119.0,-9.06,2024,Detroit Pistons
10,47,35,0.573,—,110.5,108.4,1.48,2024,Orlando Magic*
11,46,36,0.561,1.0,110.1,108.4,1.1,2024,Miami Heat*
12,36,46,0.439,11.0,118.3,120.5,-2.38,2024,Atlanta Hawks
13,21,61,0.256,26.0,106.6,116.8,-10.12,2024,Charlotte Hornets
14,15,67,0.183,32.0,113.7,123.0,-9.29,2024,Washington Wizards
0,57,25,0.695,—,120.1,112.7,7.36,2024,Oklahoma City Thunder*
1,57,25,0.695,—,114.9,109.6,5.23,2024,Denver Nuggets*
2,56,26,0.683,1.0,113.0,106.5,6.39,2024,Minnesota Timberwolves*
3,31,51,0.378,26.0,115.7,120.5,-4.22,2024,Utah Jazz
4,21,61,0.256,36.0,106.4,115.4,-8.29,2024,Portland Trail Blazers
5,51,31,0.622,—,115.6,112.3,3.41,2024,Los Angeles Clippers*
6,49,33,0.598,2.0,116.2,113.2,3.08,2024,Phoenix Suns*
7,47,35,0.573,4.0,118.0,117.4,1.07,2024,Los Angeles Lakers*
8,46,36,0.561,5.0,116.6,114.8,2.29,2024,Sacramento Kings
9,46,36,0.561,5.0,117.8,115.2,2.77,2024,Golden State Warriors
10,50,32,0.61,—,117.9,115.6,2.3,2024,Dallas Mavericks*
11,49,33,0.598,1.0,115.1,110.7,4.46,2024,New Orleans Pelicans*
12,41,41,0.5,9.0,114.3,113.2,1.24,2024,Houston Rockets
13,27,55,0.329,23.0,105.8,112.8,-6.57,2024,Memphis Grizzlies
14,22,60,0.268,28.0,112.1,118.6,-5.8,2024,San Antonio Spurs
0,61,21,0.744,—,116.3,107.2,8.28,2025,Boston Celtics*
1,51,31,0.622,10.0,115.8,111.7,3.59,2025,New York Knicks*
2,30,52,0.366,31.0,110.9,115.2,-4.4,2025,Toronto Raptors
3,26,56,0.317,35.0,105.1,112.2,-6.95,2025,Brooklyn Nets
4,24,58,0.293,37.0,109.6,115.8,-6.29,2025,Philadelphia 76ers
5,64,18,0.78,—,121.9,112.4,8.81,2025,Cleveland Cavaliers*
6,50,32,0.61,14.0,117.4,115.1,1.68,2025,Indiana Pacers*
7,48,34,0.585,16.0,115.5,113.0,2.12,2025,Milwaukee Bucks*
8,44,38,0.537,20.0,115.5,113.6,1.73,2025,Detroit Pistons*
9,39,43,0.476,25.0,117.8,119.4,-1.83,2025,Chicago Bulls
10,41,41,0.5,—,105.4,105.5,-0.7,2025,Orlando Magic*
11,40,42,0.488,1.0,118.2,119.3,-1.41,2025,Atlanta Hawks
12,37,45,0.451,4.0,110.6,110.0,0.11,2025,Miami Heat*
13,19,63,0.232,22.0,105.1,114.2,-9.1,2025,Charlotte Hornets
14,18,64,0.22,23.0,108.0,120.4,-12.14,2025,Washington Wizards
0,68,14,0.829,—,120.5,107.6,12.7,2025,Oklahoma City Thunder*
1,50,32,0.61,18.0,120.8,116.9,3.97,2025,Denver Nuggets*
2,49,33,0.598,19.0,114.3,109.3,5.15,2025,Minnesota Timberwolves*
3,36,46,0.439,32.0,110.9,113.9,-2.67,2025,Portland Trail Blazers
4,17,65,0.207,51.0,111.9,121.2,-8.51,2025,Utah Jazz
5,50,32,0.61,—,113.4,112.2,1.45,2025,Los Angeles Lakers*
6,50,32,0.61,—,112.9,108.2,4.84,2025,Los Angeles Clippers*
7,48,34,0.585,2.0,113.8,110.5,3.56,2025,Golden State Warriors*
8,40,42,0.488,10.0,115.7,115.3,0.58,2025,Sacramento Kings
9,36,46,0.439,14.0,113.6,116.6,-2.55,2025,Phoenix Suns
10,52,30,0.634,—,114.3,109.8,4.97,2025,Houston Rockets*
11,48,34,0.585,4.0,121.7,116.9,4.79,2025,Memphis Grizzlies*
12,39,43,0.476,13.0,114.2,115.4,-0.74,2025,Dallas Mavericks
13,34,48,0.415,18.0,113.9,116.7,-2.45,2025,San Antonio Spurs
14,21,61,0.256,31.0,109.8,119.3,-8.59,2025,New Orleans Pelicans
