,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
5,61,21,0.744,—,110.2,102.9,7.28,2007,Phoenix Suns*
6,42,40,0.512,19.0,103.3,103.4,0.24,2007,Los Angeles Lakers*
7,42,40,0.512,19.0,106.5,106.9,0.0,2007,Golden State Warriors*
8,40,42,0.488,21.0,95.6,96.1,-0.07,2007,Los Angeles Clippers
9,33,49,0.402,28.0,101.3,103.1,-1.35,2007,Sacramento Kings
10,67,15,0.817,—,100.0,92.8,7.28,2007,Dallas Mavericks*
11,58,24,0.707,9.0,98.5,90.1,8.35,2007,San Antonio Spurs*
12,52,30,0.634,15.0,97.0,92.1,5.04,2007,Houston Rockets*
13,39,43,0.476,28.0,95.5,97.1,-1.19,2007,New Orleans/Oklahoma City Hornets
14,22,60,0.268,45.0,101.6,106.7,-4.44,2007,Memphis Grizzlies
0,66,16,0.805,—,100.5,90.3,9.3,2008,Boston Celtics*
1,41,41,0.5,25.0,100.2,97.3,2.47,2008,Toronto Raptors*
2,40,42,0.488,26.0,96.6,96.2,0.19,2008,Philadelphia 76ers*
3,34,48,0.415,32.0,95.8,100.9,-5.15,2008,New Jersey Nets
4,23,59,0.28,43.0,96.9,103.5,-6.55,2008,New York Knicks
5,59,23,0.72,—,97.5,90.1,6.67,2008,Detroit Pistons*
6,45,37,0.549,14.0,96.4,96.7,-0.53,2008,Cleveland Cavaliers*
7,36,46,0.439,23.0,104.0,105.4,-1.87,2008,Indiana Pacers
8,33,49,0.402,26.0,97.3,100.4,-3.19,2008,Chicago Bulls
9,26,56,0.317,33.0,97.0,103.9,-6.92,2008,Milwaukee Bucks
10,52,30,0.634,—,104.5,99.0,4.79,2008,Orlando Magic*
11,43,39,0.524,9.0,98.8,99.2,-0.61,2008,Washington Wizards*
12,37,45,0.451,15.0,98.2,100.0,-2.23,2008,Atlanta Hawks*
13,32,50,0.39,20.0,97.1,101.4,-4.49,2008,Charlotte Bobcats
14,15,67,0.183,37.0,91.4,100.0,-8.53,2008,Miami Heat
0,54,28,0.659,—,106.2,99.3,6.86,2008,Utah Jazz*
1,50,32,0.61,4.0,110.7,107.0,3.74,2008,Denver Nuggets*
2,41,41,0.5,13.0,95.4,96.3,-0.52,2008,Portland Trail Blazers
3,22,60,0.268,32.0,95.6,102.4,-6.26,2008,Minnesota Timberwolves
4,20,62,0.244,34.0,97.5,106.3,-8.04,2008,Seattle SuperSonics
5,57,25,0.695,—,108.6,101.3,7.34,2008,Los Angeles Lakers*
6,55,27,0.671,2.0,110.1,105.0,5.14,2008,Phoenix Suns*
7,48,34,0.585,9.0,111.0,108.8,2.38,2008,Golden State Warriors
8,38,44,0.463,19.0,102.5,104.8,-1.86,2008,Sacramento Kings
9,23,59,0.28,34.0,93.8,101.1,-6.56,2008,Los Angeles Clippers
10,56,26,0.683,—,100.9,95.6,5.46,2008,New Orleans Hornets*
11,56,26,0.683,—,95.4,90.6,5.1,2008,San Antonio Spurs*
12,55,27,0.671,1.0,96.7,92.0,4.83,2008,Houston Rockets*
13,51,31,0.622,5.0,100.4,95.9,4.7,2008,Dallas Mavericks*
14,22,60,0.268,34.0,100.7,106.9,-5.76,2008,Memphis Grizzlies
0,62,20,0.756,—,100.9,93.4,7.44,2009,Boston Celtics*
1,41,41,0.5,21.0,97.4,97.3,0.16,2009,Philadelphia 76ers*
2,34,48,0.415,28.0,98.1,100.5,-2.31,2009,New Jersey Nets
3,33,49,0.402,29.0,99.0,101.9,-2.54,2009,Toronto Raptors
